"criterias/0/criteria","criterias/0/rating","criterias/1/criteria","criterias/1/rating","criterias/2/criteria","criterias/2/rating","date","id","replyDate","replyText","score","scoreText","text","thumbsUp","title","url","userImage","userName","version"
,,,,,,"2026-06-06T12:55:22.142Z","e1c9fc52-3197-4d46-a517-8d3ab2c6775d",,,"5","5","sangat bermanfaat","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=e1c9fc52-3197-4d46-a517-8d3ab2c6775d","https://play-lh.googleusercontent.com/a/ACg8ocLjCNbEBEc5WxX-xro2Ai-RdP2d3ST5I1fQS_H2WdPCFvIr3w=mo","Jeng Kelin","2.26.21.75"
"vaf_app_quality_battery_efficiency",,"vaf_phase1_voice_messaging",,"vaf_app_quality_ads_intrusiveness",,"2026-06-06T12:55:17.729Z","eee78361-3c1d-4d2b-9b7f-586499046fa6",,,"5","5","Lemot","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=eee78361-3c1d-4d2b-9b7f-586499046fa6","https://play-lh.googleusercontent.com/a/ACg8ocKcD_3Juvi5VJELQVQ7EcFpngjwDzEbJblLHi-npLcvq54PSg=mo","Karsinah Ninah","2.25.7.80"
"vaf_app_quality_ads_frequency","2","vaf_phase1_file_sharing","1","vaf_app_quality_stability","1","2026-06-06T12:54:06.465Z","bf7a44fa-ad7a-4a2b-94ed-33a1187ce643",,,"5","5","Ini, Kenapa Iya, Saya Kalo Buka WhatsApp nya Kadang - Kadang Bisa di Buka dan Kadang - Kadang Tidak Bisa Di Buka, Tolong Di Perbaiki Lagi..","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=bf7a44fa-ad7a-4a2b-94ed-33a1187ce643","https://play-lh.googleusercontent.com/a-/ALV-UjXXoBpic7OQ22soDEVeMW8Kk_kai_ufuABqlLnM0bvYu3bE2dikNQ","ERIEF OSFENFRI (ERIEF)","2.26.21.75"
,,,,,,"2026-06-06T12:53:19.981Z","993c7cb2-f6f3-4a2d-91b5-0f9ab40e5187",,,"5","5","mantap","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=993c7cb2-f6f3-4a2d-91b5-0f9ab40e5187","https://play-lh.googleusercontent.com/a-/ALV-UjXcS8c3XpZLBboN1KlaFyrr6SFhj_oGOm3nNzbfwrcR3x7zx_o","Jupri Yanto","2.26.21.75"
,,,,,,"2026-06-06T12:52:56.904Z","b046a6f8-9ffc-49e6-a4e9-9b978740cc5a",,,"5","5","josjis","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=b046a6f8-9ffc-49e6-a4e9-9b978740cc5a","https://play-lh.googleusercontent.com/a/ACg8ocIZMvSTvdsX4gGTIqufiTggbFeS3_EsQpT9HaXU3dMDYU6miw=mo","Puput Cahyani","2.26.21.75"
,,,,,,"2026-06-06T12:52:49.276Z","d5130f93-df4d-4bd2-8c33-8014bb70ca61",,,"5","5","HILANGKAN BINTANG (TEMAN DEKAT) DI STATUS","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=d5130f93-df4d-4bd2-8c33-8014bb70ca61","https://play-lh.googleusercontent.com/a-/ALV-UjU3yD2y9y1yXAWf2D3X-WPAcO87T5DP4x5ZEBEytGhsrcOm3v8u","Amalia Syahda Safira Mokoagow","2.26.21.75"
,,,,,,"2026-06-06T12:52:25.899Z","38d19057-303c-4872-ac05-87c3bed482dc",,,"1","1","sma","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=38d19057-303c-4872-ac05-87c3bed482dc","https://play-lh.googleusercontent.com/a/ACg8ocJtcI9hDYUEqj-oihdsZoK9A0CEjZHr8A086zI1T2QVWnsH1Q=mo","Muhammad Kartono","2.26.21.75"
,,,,,,"2026-06-06T12:52:07.559Z","6624c887-e83f-40f0-b3bf-34d81b5ec539",,,"1","1","saya sih sekarang kecewa karena tdk bisa download","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=6624c887-e83f-40f0-b3bf-34d81b5ec539","https://play-lh.googleusercontent.com/a-/ALV-UjXOFGSu05XpTObKWUPJNRNfjQLH05c7Zx_CZ-rCg70FyZDF-Io","Zuol Kaconk",
,,,,,,"2026-06-06T12:51:41.524Z","4f4e232f-3c9f-4285-8f2a-e7f817063867",,,"5","5","mantap","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=4f4e232f-3c9f-4285-8f2a-e7f817063867","https://play-lh.googleusercontent.com/a/ACg8ocL-Cr3ao_1VoCvP_3JEwHVHVzrQYSqWRO_h5clX-hLwqnUSbA=mo","Wani Tuti","2.26.21.75"
,,,,,,"2026-06-06T12:51:00.311Z","9ee70f1f-280b-4f5b-8373-5b39f5b4f23c",,,"5","5","bagus","0",,"https://play.google.com/store/apps/details?id=com.whatsapp&reviewId=9ee70f1f-280b-4f5b-8373-5b39f5b4f23c","https://play-lh.googleusercontent.com/a-/ALV-UjUmrfK8HXi2GyXJOmDPiyGnFMxy2b8Z-A-GvjejUR_n5b1E_Vw","Rakyat Jelata","2.26.21.75"
